Year,Variety,Centrality Quantile
2015,chinook,0.6
2015,mosaic,0.6
2015,mosaic,0.6
2015,mosaic,0.2
2015,nugget,0.4
2015,mosaic,0.4
2015,mosaic,1.0
2015,chinook,1.0
2015,simcoe,0.8
2015,simcoe,0.8
2015,simcoe,0.8
2015,mosaic,1.0
2015,chinook,0.8
2015,simcoe,1.0
2015,simcoe,1.0
2015,mosaic,1.0
2015,nugget,1.0
2015,chinook,0.6
2015,chinook,0.6
2015,chinook,0.6
2015,mosaic,0.6
2015,mosaic,0.2
2015,chinook,0.2
2015,mosaic,0.2
2015,simcoe,0.2
2015,nugget,0.4
2015,chinook,0.2
2015,nugget,0.2
2015,simcoe,0.4
2015,chinook,0.4
2015,simcoe,0.2
2015,chinook,0.6
2015,nugget,0.6
2015,simcoe,0.4
2015,mosaic,1.0
2015,simcoe,1.0
2015,simcoe,0.6
2015,nugget,0.6
2015,mosaic,0.8
2015,simcoe,0.6
2015,mosaic,0.6
2015,nugget,0.2
2015,chinook,0.2
2015,simcoe,0.2
2015,nugget,0.2
2015,simcoe,0.4
2015,nugget,0.4
2015,simcoe,0.4
2015,chinook,0.4
2015,nugget,0.4
2015,nugget,0.4
2015,nugget,0.4
2015,chinook,0.4
2015,mosaic,0.4
2015,nugget,0.6
2015,nugget,1.0
2015,simcoe,0.6
2015,nugget,0.8
2015,chinook,1.0
2015,chinook,0.8
2015,mosaic,0.8
2015,simcoe,0.6
2015,chinook,1.0
2015,nugget,0.6
2015,mosaic,0.8
2015,chinook,0.8
2015,chinook,1.0
2015,simcoe,0.8
2015,nugget,0.8
2015,nugget,1.0
2015,mosaic,0.8
2015,nugget,1.0
2015,simcoe,1.0
2015,chinook,1.0
2015,simcoe,0.4
2015,mosaic,0.4
2015,chinook,0.4
2015,chinook,0.2
2015,nugget,0.6
2015,chinook,0.2
2015,chinook,0.4
2015,simcoe,0.2
2015,chinook,0.2
2015,mosaic,0.2
2015,nugget,0.2
2015,chinook,0.6
2015,nugget,0.8
2015,mosaic,1.0
2015,simcoe,0.8
2015,chinook,1.0
2015,mosaic,0.8
2015,mosaic,1.0
2015,chinook,0.8
2015,nugget,1.0
2015,nugget,0.8
2015,chinook,1.0
2015,simcoe,1.0
2015,nugget,0.8
2015,nugget,0.8
2016,nugget,0.2
2016,nugget,0.2
2016,simcoe,0.4
2016,simcoe,0.2
2016,nugget,0.4
2016,mosaic,0.6
2016,nugget,0.2
2016,chinook,0.6
2016,simcoe,0.6
2016,chinook,0.4
2016,mosaic,0.4
2016,mosaic,0.6
2016,simcoe,0.8
2016,nugget,0.6
2016,nugget,0.6
2016,nugget,0.6
2016,simcoe,0.2
2016,nugget,0.4
2016,chinook,0.4
2016,nugget,0.8
2016,nugget,1.0
2016,chinook,0.8
2016,simcoe,0.6
2016,nugget,0.8
2016,simcoe,1.0
2016,chinook,0.8
2016,mosaic,1.0
2016,mosaic,0.8
2016,mosaic,1.0
2016,simcoe,0.8
2016,simcoe,0.6
2016,chinook,0.6
2016,chinook,0.6
2016,mosaic,0.8
2016,mosaic,0.6
2016,nugget,0.8
2016,mosaic,0.8
2016,nugget,0.8
2016,chinook,0.4
2016,simcoe,0.2
2016,simcoe,0.2
2016,nugget,0.4
2016,nugget,0.2
2016,chinook,0.4
2016,nugget,0.2
2016,mosaic,0.2
2016,simcoe,0.4
2016,chinook,0.6
2016,nugget,0.2
2016,mosaic,0.2
2016,chinook,0.2
2016,chinook,0.6
2016,nugget,0.4
2016,simcoe,0.4
2016,nugget,1.0
2016,nugget,1.0
2016,chinook,0.4
2016,chinook,0.8
2016,mosaic,1.0
2016,nugget,0.6
2016,mosaic,0.4
2016,simcoe,0.2
2016,mosaic,0.2
2016,simcoe,0.2
2016,chinook,0.2
2016,nugget,0.4
2016,mosaic,0.4
2016,chinook,0.4
2016,mosaic,0.4
2016,mosaic,0.6
2016,simcoe,0.4
2016,simcoe,0.6
2016,mosaic,0.4
2016,mosaic,0.4
2016,nugget,0.6
2016,chinook,1.0
2016,nugget,0.6
2016,chinook,0.8
2016,simcoe,1.0
2016,chinook,0.6
2016,simcoe,0.6
2016,nugget,1.0
2016,simcoe,0.8
2016,mosaic,0.8
2016,simcoe,0.8
2016,chinook,0.8
2016,chinook,0.8
2016,mosaic,0.6
2016,nugget,0.8
2016,chinook,1.0
2016,nugget,1.0
2016,chinook,1.0
2016,nugget,0.4
2016,chinook,0.2
2016,chinook,0.2
2016,mosaic,0.2
2016,chinook,0.2
2016,mosaic,0.2
2016,simcoe,0.4
2016,chinook,0.2
2016,mosaic,0.2
2016,mosaic,0.6
2016,mosaic,1.0
2016,nugget,1.0
2016,simcoe,1.0
2016,mosaic,0.8
2016,simcoe,1.0
2016,chinook,1.0
2016,mosaic,0.8
2016,nugget,0.8
2016,mosaic,1.0
2016,simcoe,0.8
2016,chinook,1.0
2016,chinook,1.0
2016,simcoe,1.0
2016,mosaic,1.0
2017,simcoe,0.2
2017,mosaic,0.2
2017,mosaic,0.2
2017,simcoe,0.4
2017,chinook,0.2
2017,mosaic,0.4
2017,simcoe,0.6
2017,nugget,0.2
2017,mosaic,0.2
2017,simcoe,0.8
2017,chinook,0.2
2017,nugget,0.4
2017,mosaic,0.4
2017,simcoe,0.8
2017,chinook,0.6
2017,simcoe,0.6
2017,mosaic,0.6
2017,chinook,0.2
2017,mosaic,0.4
2017,chinook,0.4
2017,chinook,0.8
2017,nugget,0.8
2017,nugget,0.6
2017,mosaic,1.0
2017,simcoe,1.0
2017,simcoe,0.8
2017,chinook,1.0
2017,chinook,0.8
2017,simcoe,1.0
2017,simcoe,1.0
2017,nugget,1.0
2017,simcoe,1.0
2017,simcoe,0.8
2017,mosaic,0.8
2017,nugget,0.8
2017,nugget,1.0
2017,nugget,0.6
2017,nugget,1.0
2017,nugget,1.0
2017,mosaic,0.8
2017,mosaic,0.8
2017,simcoe,0.2
2017,simcoe,0.2
2017,mosaic,0.2
2017,simcoe,0.4
2017,mosaic,0.2
2017,mosaic,0.4
2017,simcoe,0.2
2017,mosaic,0.2
2017,simcoe,0.4
2017,simcoe,0.6
2017,nugget,0.2
2017,chinook,0.2
2017,simcoe,0.2
2017,nugget,0.6
2017,mosaic,0.4
2017,simcoe,0.4
2017,nugget,0.6
2017,chinook,1.0
2017,chinook,1.0
2017,nugget,1.0
2017,chinook,0.6
2017,nugget,0.8
2017,mosaic,1.0
2017,chinook,0.6
2017,nugget,0.4
2017,nugget,0.2
2017,nugget,0.2
2017,chinook,0.2
2017,chinook,0.4
2017,mosaic,0.6
2017,chinook,0.4
2017,simcoe,0.6
2017,nugget,0.4
2017,mosaic,0.6
2017,chinook,0.6
2017,simcoe,0.6
2017,chinook,0.4
2017,mosaic,0.6
2017,simcoe,0.6
2017,chinook,0.6
2017,mosaic,0.6
2017,chinook,0.8
2017,simcoe,0.4
2017,mosaic,0.8
2017,simcoe,1.0
2017,nugget,0.6
2017,chinook,0.8
2017,nugget,0.6
2017,simcoe,0.8
2017,chinook,0.8
2017,nugget,0.8
2017,mosaic,0.8
2017,chinook,0.8
2017,nugget,1.0
2017,mosaic,1.0
2017,chinook,0.4
2017,nugget,0.6
2017,nugget,0.2
2017,mosaic,0.2
2017,chinook,0.2
2017,mosaic,0.4
2017,simcoe,0.4
2017,nugget,0.2
2017,mosaic,0.4
2017,nugget,0.4
2017,chinook,0.4
2017,simcoe,0.2
2017,mosaic,0.6
2017,nugget,0.4
2017,mosaic,1.0
2017,chinook,1.0
2017,chinook,1.0
2017,simcoe,1.0
2017,chinook,1.0
2017,mosaic,1.0
2017,mosaic,0.8
2017,chinook,0.8
2017,mosaic,1.0
2017,simcoe,0.8
2017,nugget,1.0
2017,nugget,0.8
